realtime_start,value,date,realtime_end
2019-12-06,175697,1958-10-01,2019-12-06
2019-12-06,175966,1958-11-01,2019-12-06
2019-12-06,176207,1958-12-01,2019-12-06
2019-12-06,176447,1959-01-01,2019-12-06
2019-12-06,176685,1959-02-01,2019-12-06
2019-12-06,176905,1959-03-01,2019-12-06
2019-12-06,177146,1959-04-01,2019-12-06
2019-12-06,177365,1959-05-01,2019-12-06
2019-12-06,177591,1959-06-01,2019-12-06
2019-12-06,177830,1959-07-01,2019-12-06
2019-12-06,178101,1959-08-01,2019-12-06
2019-12-06,178376,1959-09-01,2019-12-06
2019-12-06,178657,1959-10-01,2019-12-06
2019-12-06,178921,1959-11-01,2019-12-06
2019-12-06,179153,1959-12-01,2019-12-06
2019-12-06,179386,1960-01-01,2019-12-06
2019-12-06,179597,1960-02-01,2019-12-06
2019-12-06,179788,1960-03-01,2019-12-06
2019-12-06,180007,1960-04-01,2019-12-06
2019-12-06,180222,1960-05-01,2019-12-06
2019-12-06,180444,1960-06-01,2019-12-06
2019-12-06,180671,1960-07-01,2019-12-06
2019-12-06,180945,1960-08-01,2019-12-06
2019-12-06,181238,1960-09-01,2019-12-06
2019-12-06,181528,1960-10-01,2019-12-06
2019-12-06,181796,1960-11-01,2019-12-06
2019-12-06,182042,1960-12-01,2019-12-06
2019-12-06,182287,1961-01-01,2019-12-06
2019-12-06,182520,1961-02-01,2019-12-06
2019-12-06,182742,1961-03-01,2019-12-06
2019-12-06,182992,1961-04-01,2019-12-06
2019-12-06,183217,1961-05-01,2019-12-06
2019-12-06,183452,1961-06-01,2019-12-06
2019-12-06,183691,1961-07-01,2019-12-06
2019-12-06,183958,1961-08-01,2019-12-06
2019-12-06,184243,1961-09-01,2019-12-06
2019-12-06,184524,1961-10-01,2019-12-06
2019-12-06,184783,1961-11-01,2019-12-06
2019-12-06,185016,1961-12-01,2019-12-06
2019-12-06,185242,1962-01-01,2019-12-06
2019-12-06,185452,1962-02-01,2019-12-06
2019-12-06,185650,1962-03-01,2019-12-06
2019-12-06,185874,1962-04-01,2019-12-06
2019-12-06,186087,1962-05-01,2019-12-06
2019-12-06,186314,1962-06-01,2019-12-06
2019-12-06,186538,1962-07-01,2019-12-06
2019-12-06,186790,1962-08-01,2019-12-06
2019-12-06,187058,1962-09-01,2019-12-06
2019-12-06,187323,1962-10-01,2019-12-06
2019-12-06,187574,1962-11-01,2019-12-06
2019-12-06,187796,1962-12-01,2019-12-06
2019-12-06,188013,1963-01-01,2019-12-06
2019-12-06,188213,1963-02-01,2019-12-06
2019-12-06,188387,1963-03-01,2019-12-06
2019-12-06,188580,1963-04-01,2019-12-06
2019-12-06,188790,1963-05-01,2019-12-06
2019-12-06,189018,1963-06-01,2019-12-06
2019-12-06,189242,1963-07-01,2019-12-06
2019-12-06,189496,1963-08-01,2019-12-06
2019-12-06,189761,1963-09-01,2019-12-06
2019-12-06,190028,1963-10-01,2019-12-06
2019-12-06,190265,1963-11-01,2019-12-06
2019-12-06,190472,1963-12-01,2019-12-06
2019-12-06,190668,1964-01-01,2019-12-06
2019-12-06,190858,1964-02-01,2019-12-06
2019-12-06,191047,1964-03-01,2019-12-06
2019-12-06,191245,1964-04-01,2019-12-06
2019-12-06,191447,1964-05-01,2019-12-06
2019-12-06,191666,1964-06-01,2019-12-06
2019-12-06,191889,1964-07-01,2019-12-06
2019-12-06,192131,1964-08-01,2019-12-06
2019-12-06,192376,1964-09-01,2019-12-06
2019-12-06,192631,1964-10-01,2019-12-06
2019-12-06,192847,1964-11-01,2019-12-06
2019-12-06,193039,1964-12-01,2019-12-06
2019-12-06,193223,1965-01-01,2019-12-06
2019-12-06,193393,1965-02-01,2019-12-06
2019-12-06,193540,1965-03-01,2019-12-06
2019-12-06,193709,1965-04-01,2019-12-06
2019-12-06,193888,1965-05-01,2019-12-06
2019-12-06,194087,1965-06-01,2019-12-06
2019-12-06,194303,1965-07-01,2019-12-06
2019-12-06,194528,1965-08-01,2019-12-06
2019-12-06,194761,1965-09-01,2019-12-06
2019-12-06,194997,1965-10-01,2019-12-06
2019-12-06,195195,1965-11-01,2019-12-06
2019-12-06,195372,1965-12-01,2019-12-06
2019-12-06,195539,1966-01-01,2019-12-06
2019-12-06,195688,1966-02-01,2019-12-06
2019-12-06,195831,1966-03-01,2019-12-06
2019-12-06,195999,1966-04-01,2019-12-06
2019-12-06,196178,1966-05-01,2019-12-06
2019-12-06,196372,1966-06-01,2019-12-06
2019-12-06,196560,1966-07-01,2019-12-06
2019-12-06,196762,1966-08-01,2019-12-06
2019-12-06,196984,1966-09-01,2019-12-06
2019-12-06,197207,1966-10-01,2019-12-06
2019-12-06,197398,1966-11-01,2019-12-06
2019-12-06,197572,1966-12-01,2019-12-06
2019-12-06,197736,1967-01-01,2019-12-06
2019-12-06,197892,1967-02-01,2019-12-06
2019-12-06,198037,1967-03-01,2019-12-06
2019-12-06,198206,1967-04-01,2019-12-06
2019-12-06,198363,1967-05-01,2019-12-06
2019-12-06,198537,1967-06-01,2019-12-06
2019-12-06,198712,1967-07-01,2019-12-06
2019-12-06,198911,1967-08-01,2019-12-06
2019-12-06,199113,1967-09-01,2019-12-06
2019-12-06,199311,1967-10-01,2019-12-06
2019-12-06,199498,1967-11-01,2019-12-06
2019-12-06,199657,1967-12-01,2019-12-06
2019-12-06,199808,1968-01-01,2019-12-06
2019-12-06,199920,1968-02-01,2019-12-06
2019-12-06,200056,1968-03-01,2019-12-06
2019-12-06,200208,1968-04-01,2019-12-06
2019-12-06,200361,1968-05-01,2019-12-06
2019-12-06,200536,1968-06-01,2019-12-06
2019-12-06,200706,1968-07-01,2019-12-06
2019-12-06,200898,1968-08-01,2019-12-06
2019-12-06,201095,1968-09-01,2019-12-06
2019-12-06,201290,1968-10-01,2019-12-06
2019-12-06,201466,1968-11-01,2019-12-06
2019-12-06,201621,1968-12-01,2019-12-06
2019-12-06,201760,1969-01-01,2019-12-06
2019-12-06,201881,1969-02-01,2019-12-06
2019-12-06,202023,1969-03-01,2019-12-06
2019-12-06,202161,1969-04-01,2019-12-06
2019-12-06,202331,1969-05-01,2019-12-06
2019-12-06,202507,1969-06-01,2019-12-06
2019-12-06,202677,1969-07-01,2019-12-06
2019-12-06,202877,1969-08-01,2019-12-06
2019-12-06,203090,1969-09-01,2019-12-06
2019-12-06,203302,1969-10-01,2019-12-06
2019-12-06,203500,1969-11-01,2019-12-06
2019-12-06,203675,1969-12-01,2019-12-06
2019-12-06,203849,1970-01-01,2019-12-06
2019-12-06,204008,1970-02-01,2019-12-06
2019-12-06,204156,1970-03-01,2019-12-06
2019-12-06,204401,1970-04-01,2019-12-06
2019-12-06,204607,1970-05-01,2019-12-06
2019-12-06,204830,1970-06-01,2019-12-06
2019-12-06,205052,1970-07-01,2019-12-06
2019-12-06,205295,1970-08-01,2019-12-06
2019-12-06,205540,1970-09-01,2019-12-06
2019-12-06,205788,1970-10-01,2019-12-06
2019-12-06,206024,1970-11-01,2019-12-06
2019-12-06,206238,1970-12-01,2019-12-06
2019-12-06,206466,1971-01-01,2019-12-06
2019-12-06,206668,1971-02-01,2019-12-06
2019-12-06,206855,1971-03-01,2019-12-06
2019-12-06,207065,1971-04-01,2019-12-06
2019-12-06,207260,1971-05-01,2019-12-06
2019-12-06,207462,1971-06-01,2019-12-06
2019-12-06,207661,1971-07-01,2019-12-06
2019-12-06,207881,1971-08-01,2019-12-06
2019-12-06,208114,1971-09-01,2019-12-06
2019-12-06,208345,1971-10-01,2019-12-06
2019-12-06,208555,1971-11-01,2019-12-06
2019-12-06,208740,1971-12-01,2019-12-06
2019-12-06,208917,1972-01-01,2019-12-06
2019-12-06,209061,1972-02-01,2019-12-06
2019-12-06,209212,1972-03-01,2019-12-06
2019-12-06,209386,1972-04-01,2019-12-06
2019-12-06,209545,1972-05-01,2019-12-06
2019-12-06,209725,1972-06-01,2019-12-06
2019-12-06,209896,1972-07-01,2019-12-06
2019-12-06,210075,1972-08-01,2019-12-06
2019-12-06,210278,1972-09-01,2019-12-06
2019-12-06,210479,1972-10-01,2019-12-06
2019-12-06,210656,1972-11-01,2019-12-06
2019-12-06,210821,1972-12-01,2019-12-06
2019-12-06,210985,1973-01-01,2019-12-06
2019-12-06,211120,1973-02-01,2019-12-06
2019-12-06,211254,1973-03-01,2019-12-06
2019-12-06,211420,1973-04-01,2019-12-06
2019-12-06,211577,1973-05-01,2019-12-06
2019-12-06,211746,1973-06-01,2019-12-06
2019-12-06,211909,1973-07-01,2019-12-06
2019-12-06,212092,1973-08-01,2019-12-06
2019-12-06,212289,1973-09-01,2019-12-06
2019-12-06,212475,1973-10-01,2019-12-06
2019-12-06,212634,1973-11-01,2019-12-06
2019-12-06,212785,1973-12-01,2019-12-06
2019-12-06,212932,1974-01-01,2019-12-06
2019-12-06,213074,1974-02-01,2019-12-06
2019-12-06,213211,1974-03-01,2019-12-06
2019-12-06,213361,1974-04-01,2019-12-06
2019-12-06,213513,1974-05-01,2019-12-06
2019-12-06,213686,1974-06-01,2019-12-06
2019-12-06,213854,1974-07-01,2019-12-06
2019-12-06,214042,1974-08-01,2019-12-06
2019-12-06,214246,1974-09-01,2019-12-06
2019-12-06,214451,1974-10-01,2019-12-06
2019-12-06,214625,1974-11-01,2019-12-06
2019-12-06,214782,1974-12-01,2019-12-06
2019-12-06,214931,1975-01-01,2019-12-06
2019-12-06,215065,1975-02-01,2019-12-06
2019-12-06,215198,1975-03-01,2019-12-06
2019-12-06,215353,1975-04-01,2019-12-06
2019-12-06,215523,1975-05-01,2019-12-06
2019-12-06,215768,1975-06-01,2019-12-06
2019-12-06,215973,1975-07-01,2019-12-06
2019-12-06,216195,1975-08-01,2019-12-06
2019-12-06,216393,1975-09-01,2019-12-06
2019-12-06,216587,1975-10-01,2019-12-06
2019-12-06,216771,1975-11-01,2019-12-06
2019-12-06,216931,1975-12-01,2019-12-06
2019-12-06,217095,1976-01-01,2019-12-06
2019-12-06,217249,1976-02-01,2019-12-06
2019-12-06,217381,1976-03-01,2019-12-06
2019-12-06,217528,1976-04-01,2019-12-06
2019-12-06,217685,1976-05-01,2019-12-06
2019-12-06,217861,1976-06-01,2019-12-06
2019-12-06,218035,1976-07-01,2019-12-06
2019-12-06,218233,1976-08-01,2019-12-06
2019-12-06,218440,1976-09-01,2019-12-06
2019-12-06,218644,1976-10-01,2019-12-06
2019-12-06,218834,1976-11-01,2019-12-06
2019-12-06,219006,1976-12-01,2019-12-06
2019-12-06,219179,1977-01-01,2019-12-06
2019-12-06,219344,1977-02-01,2019-12-06
2019-12-06,219504,1977-03-01,2019-12-06
2019-12-06,219684,1977-04-01,2019-12-06
2019-12-06,219859,1977-05-01,2019-12-06
2019-12-06,220046,1977-06-01,2019-12-06
2019-12-06,220239,1977-07-01,2019-12-06
2019-12-06,220458,1977-08-01,2019-12-06
2019-12-06,220688,1977-09-01,2019-12-06
2019-12-06,220904,1977-10-01,2019-12-06
2019-12-06,221109,1977-11-01,2019-12-06
2019-12-06,221303,1977-12-01,2019-12-06
2019-12-06,221477,1978-01-01,2019-12-06
2019-12-06,221629,1978-02-01,2019-12-06
2019-12-06,221792,1978-03-01,2019-12-06
2019-12-06,221991,1978-04-01,2019-12-06
2019-12-06,222176,1978-05-01,2019-12-06
2019-12-06,222379,1978-06-01,2019-12-06
2019-12-06,222585,1978-07-01,2019-12-06
2019-12-06,222805,1978-08-01,2019-12-06
2019-12-06,223053,1978-09-01,2019-12-06
2019-12-06,223271,1978-10-01,2019-12-06
2019-12-06,223477,1978-11-01,2019-12-06
2019-12-06,223670,1978-12-01,2019-12-06
2019-12-06,223865,1979-01-01,2019-12-06
2019-12-06,224053,1979-02-01,2019-12-06
2019-12-06,224235,1979-03-01,2019-12-06
2019-12-06,224438,1979-04-01,2019-12-06
2019-12-06,224632,1979-05-01,2019-12-06
2019-12-06,224843,1979-06-01,2019-12-06
2019-12-06,225055,1979-07-01,2019-12-06
2019-12-06,225295,1979-08-01,2019-12-06
2019-12-06,225547,1979-09-01,2019-12-06
2019-12-06,225801,1979-10-01,2019-12-06
2019-12-06,226027,1979-11-01,2019-12-06
2019-12-06,226243,1979-12-01,2019-12-06
2019-12-06,226451,1980-01-01,2019-12-06
2019-12-06,226656,1980-02-01,2019-12-06
2019-12-06,226849,1980-03-01,2019-12-06
2019-12-06,227061,1980-04-01,2019-12-06
2019-12-06,227251,1980-05-01,2019-12-06
2019-12-06,227522,1980-06-01,2019-12-06
2019-12-06,227726,1980-07-01,2019-12-06
2019-12-06,227953,1980-08-01,2019-12-06
2019-12-06,228186,1980-09-01,2019-12-06
2019-12-06,228417,1980-10-01,2019-12-06
2019-12-06,228612,1980-11-01,2019-12-06
2019-12-06,228779,1980-12-01,2019-12-06
2019-12-06,228937,1981-01-01,2019-12-06
2019-12-06,229071,1981-02-01,2019-12-06
2019-12-06,229224,1981-03-01,2019-12-06
2019-12-06,229403,1981-04-01,2019-12-06
2019-12-06,229575,1981-05-01,2019-12-06
2019-12-06,229761,1981-06-01,2019-12-06
2019-12-06,229966,1981-07-01,2019-12-06
2019-12-06,230187,1981-08-01,2019-12-06
2019-12-06,230412,1981-09-01,2019-12-06
2019-12-06,230641,1981-10-01,2019-12-06
2019-12-06,230822,1981-11-01,2019-12-06
2019-12-06,230989,1981-12-01,2019-12-06
2019-12-06,231157,1982-01-01,2019-12-06
2019-12-06,231313,1982-02-01,2019-12-06
2019-12-06,231470,1982-03-01,2019-12-06
2019-12-06,231645,1982-04-01,2019-12-06
2019-12-06,231809,1982-05-01,2019-12-06
2019-12-06,231992,1982-06-01,2019-12-06
2019-12-06,232188,1982-07-01,2019-12-06
2019-12-06,232392,1982-08-01,2019-12-06
2019-12-06,232599,1982-09-01,2019-12-06
2019-12-06,232816,1982-10-01,2019-12-06
2019-12-06,232993,1982-11-01,2019-12-06
2019-12-06,233160,1982-12-01,2019-12-06
2019-12-06,233322,1983-01-01,2019-12-06
2019-12-06,233473,1983-02-01,2019-12-06
2019-12-06,233613,1983-03-01,2019-12-06
2019-12-06,233781,1983-04-01,2019-12-06
2019-12-06,233922,1983-05-01,2019-12-06
2019-12-06,234118,1983-06-01,2019-12-06
2019-12-06,234307,1983-07-01,2019-12-06
2019-12-06,234501,1983-08-01,2019-12-06
2019-12-06,234701,1983-09-01,2019-12-06
2019-12-06,234907,1983-10-01,2019-12-06
2019-12-06,235078,1983-11-01,2019-12-06
2019-12-06,235235,1983-12-01,2019-12-06
2019-12-06,235385,1984-01-01,2019-12-06
2019-12-06,235527,1984-02-01,2019-12-06
2019-12-06,235675,1984-03-01,2019-12-06
2019-12-06,235839,1984-04-01,2019-12-06
2019-12-06,235993,1984-05-01,2019-12-06
2019-12-06,236160,1984-06-01,2019-12-06
2019-12-06,236348,1984-07-01,2019-12-06
2019-12-06,236549,1984-08-01,2019-12-06
2019-12-06,236760,1984-09-01,2019-12-06
2019-12-06,236976,1984-10-01,2019-12-06
2019-12-06,237159,1984-11-01,2019-12-06
2019-12-06,237316,1984-12-01,2019-12-06
2019-12-06,237468,1985-01-01,2019-12-06
2019-12-06,237602,1985-02-01,2019-12-06
2019-12-06,237732,1985-03-01,2019-12-06
2019-12-06,237900,1985-04-01,2019-12-06
2019-12-06,238074,1985-05-01,2019-12-06
2019-12-06,238270,1985-06-01,2019-12-06
2019-12-06,238466,1985-07-01,2019-12-06
2019-12-06,238679,1985-08-01,2019-12-06
2019-12-06,238898,1985-09-01,2019-12-06
2019-12-06,239113,1985-10-01,2019-12-06
2019-12-06,239307,1985-11-01,2019-12-06
2019-12-06,239477,1985-12-01,2019-12-06
2019-12-06,239638,1986-01-01,2019-12-06
2019-12-06,239788,1986-02-01,2019-12-06
2019-12-06,239928,1986-03-01,2019-12-06
2019-12-06,240094,1986-04-01,2019-12-06
2019-12-06,240271,1986-05-01,2019-12-06
2019-12-06,240459,1986-06-01,2019-12-06
2019-12-06,240651,1986-07-01,2019-12-06
2019-12-06,240854,1986-08-01,2019-12-06
2019-12-06,241068,1986-09-01,2019-12-06
2019-12-06,241274,1986-10-01,2019-12-06
2019-12-06,241467,1986-11-01,2019-12-06
2019-12-06,241620,1986-12-01,2019-12-06
2019-12-06,241784,1987-01-01,2019-12-06
2019-12-06,241930,1987-02-01,2019-12-06
2019-12-06,242079,1987-03-01,2019-12-06
2019-12-06,242252,1987-04-01,2019-12-06
2019-12-06,242423,1987-05-01,2019-12-06
2019-12-06,242608,1987-06-01,2019-12-06
2019-12-06,242804,1987-07-01,2019-12-06
2019-12-06,243012,1987-08-01,2019-12-06
2019-12-06,243223,1987-09-01,2019-12-06
2019-12-06,243446,1987-10-01,2019-12-06
2019-12-06,243639,1987-11-01,2019-12-06
2019-12-06,243809,1987-12-01,2019-12-06
2019-12-06,243981,1988-01-01,2019-12-06
2019-12-06,244131,1988-02-01,2019-12-06
2019-12-06,244279,1988-03-01,2019-12-06
2019-12-06,244445,1988-04-01,2019-12-06
2019-12-06,244610,1988-05-01,2019-12-06
2019-12-06,244806,1988-06-01,2019-12-06
2019-12-06,245021,1988-07-01,2019-12-06
2019-12-06,245240,1988-08-01,2019-12-06
2019-12-06,245464,1988-09-01,2019-12-06
2019-12-06,245693,1988-10-01,2019-12-06
2019-12-06,245884,1988-11-01,2019-12-06
2019-12-06,246056,1988-12-01,2019-12-06
2019-12-06,246224,1989-01-01,2019-12-06
2019-12-06,246378,1989-02-01,2019-12-06
2019-12-06,246530,1989-03-01,2019-12-06
2019-12-06,246721,1989-04-01,2019-12-06
2019-12-06,246906,1989-05-01,2019-12-06
2019-12-06,247114,1989-06-01,2019-12-06
2019-12-06,247342,1989-07-01,2019-12-06
2019-12-06,247573,1989-08-01,2019-12-06
2019-12-06,247816,1989-09-01,2019-12-06
2019-12-06,248067,1989-10-01,2019-12-06
2019-12-06,248281,1989-11-01,2019-12-06
2019-12-06,248479,1989-12-01,2019-12-06
2019-12-06,248659,1990-01-01,2019-12-06
2019-12-06,248827,1990-02-01,2019-12-06
2019-12-06,249012,1990-03-01,2019-12-06
2019-12-06,249306,1990-04-01,2019-12-06
2019-12-06,249565,1990-05-01,2019-12-06
2019-12-06,249849,1990-06-01,2019-12-06
2019-12-06,250132,1990-07-01,2019-12-06
2019-12-06,250439,1990-08-01,2019-12-06
2019-12-06,250751,1990-09-01,2019-12-06
2019-12-06,251057,1990-10-01,2019-12-06
2019-12-06,251346,1990-11-01,2019-12-06
2019-12-06,251626,1990-12-01,2019-12-06
2019-12-06,251889,1991-01-01,2019-12-06
2019-12-06,252135,1991-02-01,2019-12-06
2019-12-06,252372,1991-03-01,2019-12-06
2019-12-06,252643,1991-04-01,2019-12-06
2019-12-06,252913,1991-05-01,2019-12-06
2019-12-06,253207,1991-06-01,2019-12-06
2019-12-06,253493,1991-07-01,2019-12-06
2019-12-06,253807,1991-08-01,2019-12-06
2019-12-06,254126,1991-09-01,2019-12-06
2019-12-06,254435,1991-10-01,2019-12-06
2019-12-06,254718,1991-11-01,2019-12-06
2019-12-06,254964,1991-12-01,2019-12-06
2019-12-06,255214,1992-01-01,2019-12-06
2019-12-06,255448,1992-02-01,2019-12-06
2019-12-06,255703,1992-03-01,2019-12-06
2019-12-06,255992,1992-04-01,2019-12-06
2019-12-06,256285,1992-05-01,2019-12-06
2019-12-06,256589,1992-06-01,2019-12-06
2019-12-06,256894,1992-07-01,2019-12-06
2019-12-06,257232,1992-08-01,2019-12-06
2019-12-06,257548,1992-09-01,2019-12-06
2019-12-06,257861,1992-10-01,2019-12-06
2019-12-06,258147,1992-11-01,2019-12-06
2019-12-06,258413,1992-12-01,2019-12-06
2019-12-06,258679,1993-01-01,2019-12-06
2019-12-06,258919,1993-02-01,2019-12-06
2019-12-06,259152,1993-03-01,2019-12-06
2019-12-06,259414,1993-04-01,2019-12-06
2019-12-06,259680,1993-05-01,2019-12-06
2019-12-06,259963,1993-06-01,2019-12-06
2019-12-06,260255,1993-07-01,2019-12-06
2019-12-06,260566,1993-08-01,2019-12-06
2019-12-06,260867,1993-09-01,2019-12-06
2019-12-06,261163,1993-10-01,2019-12-06
2019-12-06,261425,1993-11-01,2019-12-06
2019-12-06,261674,1993-12-01,2019-12-06
2019-12-06,261919,1994-01-01,2019-12-06
2019-12-06,262123,1994-02-01,2019-12-06
2019-12-06,262352,1994-03-01,2019-12-06
2019-12-06,262631,1994-04-01,2019-12-06
2019-12-06,262877,1994-05-01,2019-12-06
2019-12-06,263152,1994-06-01,2019-12-06
2019-12-06,263436,1994-07-01,2019-12-06
2019-12-06,263724,1994-08-01,2019-12-06
2019-12-06,264017,1994-09-01,2019-12-06
2019-12-06,264301,1994-10-01,2019-12-06
2019-12-06,264559,1994-11-01,2019-12-06
2019-12-06,264804,1994-12-01,2019-12-06
2019-12-06,265044,1995-01-01,2019-12-06
2019-12-06,265270,1995-02-01,2019-12-06
2019-12-06,265495,1995-03-01,2019-12-06
2019-12-06,265755,1995-04-01,2019-12-06
2019-12-06,265998,1995-05-01,2019-12-06
2019-12-06,266270,1995-06-01,2019-12-06
2019-12-06,266557,1995-07-01,2019-12-06
2019-12-06,266843,1995-08-01,2019-12-06
2019-12-06,267152,1995-09-01,2019-12-06
2019-12-06,267456,1995-10-01,2019-12-06
2019-12-06,267715,1995-11-01,2019-12-06
2019-12-06,267943,1995-12-01,2019-12-06
2019-12-06,268151,1996-01-01,2019-12-06
2019-12-06,268364,1996-02-01,2019-12-06
2019-12-06,268595,1996-03-01,2019-12-06
2019-12-06,268853,1996-04-01,2019-12-06
2019-12-06,269108,1996-05-01,2019-12-06
2019-12-06,269386,1996-06-01,2019-12-06
2019-12-06,269667,1996-07-01,2019-12-06
2019-12-06,269976,1996-08-01,2019-12-06
2019-12-06,270284,1996-09-01,2019-12-06
2019-12-06,270581,1996-10-01,2019-12-06
2019-12-06,270878,1996-11-01,2019-12-06
2019-12-06,271125,1996-12-01,2019-12-06
2019-12-06,271360,1997-01-01,2019-12-06
2019-12-06,271585,1997-02-01,2019-12-06
2019-12-06,271821,1997-03-01,2019-12-06
2019-12-06,272083,1997-04-01,2019-12-06
2019-12-06,272342,1997-05-01,2019-12-06
2019-12-06,272622,1997-06-01,2019-12-06
2019-12-06,272912,1997-07-01,2019-12-06
2019-12-06,273237,1997-08-01,2019-12-06
2019-12-06,273553,1997-09-01,2019-12-06
2019-12-06,273852,1997-10-01,2019-12-06
2019-12-06,274126,1997-11-01,2019-12-06
2019-12-06,274372,1997-12-01,2019-12-06
2019-12-06,274626,1998-01-01,2019-12-06
2019-12-06,274838,1998-02-01,2019-12-06
2019-12-06,275047,1998-03-01,2019-12-06
2019-12-06,275304,1998-04-01,2019-12-06
2019-12-06,275564,1998-05-01,2019-12-06
2019-12-06,275836,1998-06-01,2019-12-06
2019-12-06,276115,1998-07-01,2019-12-06
2019-12-06,276418,1998-08-01,2019-12-06
2019-12-06,276714,1998-09-01,2019-12-06
2019-12-06,277003,1998-10-01,2019-12-06
2019-12-06,277277,1998-11-01,2019-12-06
2019-12-06,277526,1998-12-01,2019-12-06
2019-12-06,277790,1999-01-01,2019-12-06
2019-12-06,277992,1999-02-01,2019-12-06
2019-12-06,278198,1999-03-01,2019-12-06
2019-12-06,278451,1999-04-01,2019-12-06
2019-12-06,278717,1999-05-01,2019-12-06
2019-12-06,279001,1999-06-01,2019-12-06
2019-12-06,279295,1999-07-01,2019-12-06
2019-12-06,279602,1999-08-01,2019-12-06
2019-12-06,279903,1999-09-01,2019-12-06
2019-12-06,280203,1999-10-01,2019-12-06
2019-12-06,280471,1999-11-01,2019-12-06
2019-12-06,280716,1999-12-01,2019-12-06
2019-12-06,280976,2000-01-01,2019-12-06
2019-12-06,281190,2000-02-01,2019-12-06
2019-12-06,281409,2000-03-01,2019-12-06
2019-12-06,281653,2000-04-01,2019-12-06
2019-12-06,281877,2000-05-01,2019-12-06
2019-12-06,282126,2000-06-01,2019-12-06
